SIGLA,FAMILY,SPECIES,Dispersal syndrome,Growth form,RS1,RS2,inertia,OMI,Tol,Rtol,omi,tol,rtol,DL,AREA,EN,VUL
mda71,Moraceae,Dorstenia arifolia Lam.,Zoochory,Herbaceous,-0.63652,-0.15087,0.52257469,0.112646604,0.135576792,0.274351294,21.6,25.9,52.5,39.44871795,117650.0924,1,1.350844693
mdr175,Moraceae,"Dorstenia ramosa (Desv.) Carauta, C.Valente & Sucre",Zoochory,Herbaceous,-0.72574,0.57207,0.399677807,0.199036011,0.096390089,0.104251708,49.8,24.1,26.1,10.55555556,6259.179632,1,1.855750278
mec74,Myrtaceae,Eugenia candolleana DC.,Zoochory,Woody,0.15268,-1.42401,1.401905871,0.364682791,0.614239002,0.422984078,26,43.8,30.2,63.06617647,271304.2153,0,1.566781434
mem183,Myrtaceae,Eugenia monosperma Vell.,Zoochory,Woody,-0.56588,1.25368,0.890053701,0.363597051,0.371706674,0.154749975,40.9,41.8,17.4,21.29268293,33489.69098,0,2.027712215
mep75,Myrtaceae,Eugenia prasina O.Berg,Zoochory,Woody,-0.89373,0.84337,0.989032761,0.339843584,0.366362537,0.28282664,34.4,37,28.6,57.26612903,164585.2157,1,1.331443312
mes184,Myrtaceae,Eugenia selloi B.D.Jacks.,Zoochory,Woody,-0.64433,-1.62042,0.746945038,0.575418087,0.13271325,0.038813701,77,17.8,5.2,13.92592593,9894.070691,0,2.161998105
meu185,Myrtaceae,Eugenia uniflora L.,Zoochory,Woody,-1.88034,0.17922,1.972627819,0.953720953,0.723580744,0.295326122,48.3,36.7,15,382.0716146,1300390.449,0,1.35826721
mfc72,Moraceae,Ficus clusiifolia Schott,Zoochory,Epiphyte,0.60642,-1.0695,1.011963067,0.300819661,0.336629549,0.374513857,29.7,33.3,37,53.30630631,233990.8174,0,1.879013025
mfe176,Moraceae,Ficus enormis Mart. Ex Miq.,Zoochory,Woody,-1.52021,0.26668,1.579939543,0.632226791,0.576137409,0.371575342,40,36.5,23.5,206.6518692,589699.7515,0,1.163083179
mfh73,Moraceae,Ficus hirsuta Schott,Zoochory,Epiphyte,0.32557,-0.78049,1.131193673,0.136116834,0.46154753,0.533529309,12,40.8,47.2,27.40384615,143949.1837,0,1.84953461
mfl178,Moraceae,Ficus luschnathiana (Miq.) Miq.,Zoochory,Epiphyte,-2.06862,0.74875,1.718631496,1.246487753,0.280613088,0.191530656,72.5,16.3,11.1,259.7687861,755870.8655,0,1.376141484
mfn179,Moraceae,Ficus nevesiae Carauta,Zoochory,Woody,-0.42001,-1.28991,0.730064974,0.341389699,0.364204578,0.024470696,46.8,49.9,3.4,6.222222222,2673.24414,0,3.738247677
mfp180,Moraceae,Ficus pertusa L.f.,Zoochory,Epiphyte,0.9759,1.05542,2.375960101,0.452284068,1.220910515,0.702765518,19,51.4,29.6,717.5582656,2574022.417,0,1.223399031
mfp181,Moraceae,Ficus pulchella Schott,Zoochory,Woody,0.40814,0.47726,1.326268715,0.084933004,0.691892105,0.549443605,6.4,52.2,41.4,41.55263158,121038.1973,0,1.685031692
mft182,Moraceae,Ficus tomentella (Miq.) Miq.,Zoochory,Epiphyte,-0.17593,-1.90028,1.186312808,0.646550887,0.331948852,0.207813069,54.5,28,17.5,14.53333333,25272.44991,1,2.788600357
mgg173,Meliaceae,Guarea guidonia (L.) Sleumer,Zoochory,Woody,1.10693,0.52323,1.807226371,0.376998287,0.888432915,0.541795169,20.9,49.2,30,787.2595797,2607310.909,0,1.46147194
mhb167,Malpighiaceae,Heteropterys bicolor A.Juss.,Anemochory,Climber,-0.44419,-0.46732,1.250452887,0.091498726,0.383164643,0.775789518,7.3,30.6,62,25.26,146277.5161,0,1.606378647
mhc60,Malpighiaceae,Heteropterys chrysophylla (Lam.) DC.,Anemochory,Climber,-0.00664,-1.4294,1.108343977,0.361151297,0.564634692,0.182557989,32.6,50.9,16.5,40.23684211,98045.17368,0,1.34602525
mhc61,Malpighiaceae,Heteropterys coleoptera Adr. Juss.,Zoochory,Climber,0.76827,-0.48547,1.020860804,0.199976998,0.272182772,0.548701034,19.6,26.7,53.7,43.93478261,114437.4735,0,1.415640817
mho65,Malvaceae,Helicteres ovata Lam.,Autochory,Woody,-0.59241,-0.50782,1.416268705,0.139678787,0.147787278,1.12880264,9.9,10.4,79.7,48.52747253,267594.6993,0,1.396874726
mmf186,Myrtaceae,Myrciaria floribunda (H.West ex Willd.) O.Berg,Zoochory,Woody,0.39734,0.49942,1.627845909,0.086425386,0.936629957,0.604790566,5.3,57.5,37.2,653.7632167,1508896.002,0,1.390984177
mmg70,Monimiaceae,Mollinedia glabra (Spreng.) Perkins,Zoochory,Woody,-0.0397,-0.92382,0.557618529,0.151278364,0.192844178,0.213495986,27.1,34.6,38.3,18.34285714,82877.81756,1,1.491741705
mms168,Malpighiaceae,Mascagnia sepium (A.Juss.) Griseb.,Anemochory,Climber,0.19391,-1.50796,2.23593491,0.412016598,1.209478063,0.614440248,18.4,54.1,27.5,68.43065693,502882.5262,0,1.806600607
mna62,Malpighiaceae,Niedenzuella acutifolia (Cav.) W.R.Anderson,Anemochory,Climber,-0.23555,-0.12347,1.043514908,0.017565517,0.540894129,0.485055263,1.7,51.8,46.5,118.2863248,481068.3333,0,1.853905817
mpc76,Myrtaceae,Psidium cattleianum Sabine,Zoochory,Woody,-1.47413,0.71236,1.480497358,0.672330947,0.594887267,0.213279145,45.4,40.2,14.4,160.97411,443126.6488,0,1.253198337
mpg66,Malvaceae,Pseudobombax grandiflorum (Cav.) A. Robyns,Anemochory,Woody,-0.65281,-0.0006,0.975863566,0.114252508,0.504446779,0.357164279,11.7,51.7,36.6,123.877551,378231.6904,0,1.582722633
mpi187,Myrtaceae,Plinia ilhensis G.M.Barroso,Zoochory,Woody,-0.55207,-0.73372,0.287102509,0.176873736,0.067023756,0.043205017,61.6,23.3,15,3,2184.344988,1,2.659196342
msa63,Malpighiaceae,Stigmaphyllon auriculatum (Cav.) A.Juss,Anemochory,Climber,-0.0327,-3.76916,3.382297677,2.511223408,0.460364661,0.410709608,74.2,13.6,12.1,74.53900709,262563.3913,0,1.087398532
mtc172,Melastomataceae,Tibouchina corymbosa (Raddi) Cogn.,Zoochory,Woody,-0.70625,-0.06347,0.353292401,0.134441197,0.025327375,0.193523829,38.1,7.2,54.8,4.555555556,7075.029601,0,2.08992399
mtc69,Meliaceae,Trichilia casaretti C. DC.,Zoochory,Woody,-1.11695,-0.2118,0.972700951,0.34243974,0.325991582,0.304269629,35.2,33.5,31.3,114.2118644,401428.1979,0,1.371430554
mtg67,Melastomataceae,Tibouchina granulosa (Desr.) Cogn.,Anemochory,Woody,-0.76829,-0.46525,0.398792839,0.196525667,0.022546248,0.179720924,49.3,5.7,45.1,7.230769231,9273.372143,0,1.742623558
mth68,Melastomataceae,Tibouchina heteromalla (D. Don) Cogn.,Anemochory,Woody,-0.33424,-0.41011,0.723377893,0.059680721,0.242006409,0.421690763,8.3,33.5,58.3,194.4093137,431760.7704,0,1.81735749
mtm169,Malpighiaceae,Tetrapterys mucronata Cav.,Anemochory,Climber,0.73501,-0.19393,1.446583556,0.151551829,0.59307729,0.701954437,10.5,41,48.5,136.9747292,420590.2326,0,1.513686612
ngo188,Nyctaginaceae,Guapira opposita (Vell.) Reitz,Zoochory,Woody,-0.74183,0.05685,1.183766894,0.14810917,0.648193154,0.38746457,12.5,54.8,32.7,588.7230246,1115068.687,0,1.865206294
nlc189,Nyctaginaceae,Leucaster caniflorus (Mart.) Choisy,Zoochory,Woody,-0.41818,-1.75627,0.736265246,0.592065147,0.079442761,0.064757339,80.4,10.8,8.8,12.75,43106.85683,0,1.895273552
oab77,Orchidaceae,Gomesa barbata (Lindl.) M.W.Chase & N.H.Williams,Anemochory,Epiphyte,0.3997,-2.21158,1.809068075,0.907345125,0.416287735,0.485435216,50.2,23,26.8,26.59615385,134171.53,0,1.813957529
obl191,Orchidaceae,Cattleya lobata Lindl.,Anemochory,Lithophyte,-0.50814,-0.44828,0.136180404,0.104748571,0.004725449,0.026706383,76.9,3.5,19.6,1.5,4964.818138,1,1.827715994
obt192,Orchidaceae,Brassavola tuberculata Hook.,Anemochory,Epiphyte,-0.72398,-0.78692,1.644843181,0.249990795,0.418324123,0.976528262,15.2,25.4,59.4,73.36423841,332099.5407,0,1.433236675
ocf193,Orchidaceae,Cattleya forbesii Lindl.,Anemochory,Epiphyte,-1.41355,1.10147,1.021061251,0.750153507,0.12407471,0.146833034,73.5,12.2,14.4,21.79487179,43370.24063,1,1.548514786
ocf78,Orchidaceae,Cyrtopodium flavum Link & Otto ex Rchb.f.,Anemochory,Herbaceous,0.12532,-0.67664,1.294413849,0.085150793,0.719944645,0.489318411,6.6,55.6,37.8,89.08465608,230449.8566,0,1.492688155
ocg194,Orchidaceae,Cyrtopodium glutiniferum Raddi,Anemochory,Herbaceous,-0.21081,-0.81672,0.409443087,0.129816956,0.125291323,0.154334807,31.7,30.6,37.7,25.13461538,88790.78007,0,1.551517387
oea79,Orchidaceae,Epidendrum ammophilum Barb.Rodr.,Anemochory,Herbaceous,-0.07898,-2.45024,1.447148894,1.062802705,0.348168524,0.036177665,73.4,24.1,2.5,1.5,12481.86794,0,1.797678386
oed196,Orchidaceae,Epidendrum denticulatum Barb. Rodr.,Anemochory,Herbaceous,-0.37912,-0.41366,0.865866032,0.068780169,0.26900165,0.528084214,7.9,31.1,61,75.20138889,237574.1061,0,1.274661715
oeh197,Orchidaceae,Epidendrum harrisoniae Hook.,Anemochory,Epiphyte,-0.40083,-1.02985,0.230540016,0.230540016,0,0,100,0,0,NA,4731.596164,0,1.820839582
oes198,Orchidaceae,Epidendrum secundum Jacq.,Anemochory,Epiphyte,-0.30626,-0.18172,1.418216348,0.0309806,0.530080694,0.857155053,2.2,37.4,60.4,358.6506849,902894.4448,0,1.253397429
oet195,Orchidaceae,Eltroplectris triloba (Lindl.) Pabst,Anemochory,Herbaceous,-0.57058,-1.15776,1.290027684,0.324211259,0.301277816,0.664538609,25.1,23.4,51.5,24.25531915,130485.6529,0,1.556471684
ohl80,Orchidaceae,Habenaria leptoceras Hook.,Anemochory,Herbaceous,-0.05302,-1.29537,0.922906729,0.297348368,0.326355203,0.299203157,32.2,35.4,32.4,10.38095238,45476.37366,0,2.01762962
olp199,Orchidaceae,Trichocentrum pumilum (Lindl.) M.W.Chase & N.H.Williams,Anemochory,Epiphyte,-1.78296,0.42823,1.550104102,0.884788623,0.502144149,0.16317133,57.1,32.4,10.5,43.96703297,337545.3643,0,1.626570143
ooo190,Ochnaceae,Ouratea oliviformis (A.St.-Hil.) Engl.,Zoochory,Woody,-0.45263,-1.00023,0.559715258,0.231766601,0.220427392,0.107521265,41.4,39.4,19.2,5,4492.190779,0,2.900161485
opb203,Orchidaceae,Prosthechea bulbosa (Vell.) W.E.Higgins,Anemochory,Epiphyte,-1.84468,0.89795,1.379362309,1.054909253,0.212948191,0.111504866,76.5,15.4,8.1,36.81578947,160698.9552,0,1.796799608
ope200,Orchidaceae,Polystachya estrellensis Rchb. f.,Anemochory,Epiphyte,-0.12932,-0.0204,1.25264025,0.004553485,0.702892832,0.545193932,0.4,56.1,43.5,94.26455026,407668.1234,0,1.482137813
opp81,Orchidaceae,Prescottia plantaginifolia Lindl. ex Hook.,Anemochory,Herbaceous,0.02871,-1.20158,1.070420027,0.25542266,0.58039764,0.234599726,23.9,54.2,21.9,59.15833333,221217.8123,0,1.595299741
ops201,Orchidaceae,Prescottia spiranthophylla Barb.Rodr.,Anemochory,Lithophyte,-0.51042,-0.97646,0.245831896,0.238382952,0.000280657,0.007168287,97,0.1,2.9,2.333333333,5813.167675,0,1.768053992
ops202,Orchidaceae,Prescottia stachyodes (Sw.) Lindl.,Anemochory,Herbaceous,0.41729,1.63398,1.922493135,0.51854853,0.687983146,0.715961459,27,35.8,37.2,207.6175115,702907.5751,0,1.270647078
ovb82,Orchidaceae,Vanilla bahiana Hoehne,Zoochory,Climber,0.97036,-1.34356,1.210860856,0.571605834,0.201303759,0.437951264,47.2,16.6,36.2,49.83018868,121218.6337,0,1.7562547
pcs90,Primulaceae,Clavija spinosa (Vell.) Mez,Zoochory,Woody,-0.08863,-1.52122,0.860614813,0.411130871,0.290552122,0.15893182,47.8,33.8,18.5,20.93333333,50908.41628,0,1.693838151
ppa204,Passifloraceae,Passiflora alata Curtis,Zoochory,Climber,-0.45927,0.00099,1.147396729,0.056544915,0.771580968,0.319270846,4.9,67.2,27.8,194.865,761074.7062,0,1.504180969
ppa210,Piperaceae,Piper amalago L.,Zoochory,Woody,-0.26989,-0.15621,1.775272542,0.023838831,1.012106914,0.739326796,1.3,57,41.6,789.3404389,2322126.643,0,1.383650402
pph211,Piperaceae,Piper hispidum Sw.,Zoochory,Woody,1.03885,1.25383,2.097631409,0.567268421,0.921172556,0.609190432,27,43.9,29,983.1281796,2451927.425,0,1.248052931
ppi207,Piperaceae,Peperomia incana (Haw.) Hook.,Zoochory,Epiphyte,-0.21017,-1.03361,0.432039713,0.20067866,0.091299267,0.140061785,46.4,21.1,32.4,11.15,2584.041091,0,3.297836031
ppm212,Piperaceae,Piper mollicomum Kunth,Zoochory,Woody,-0.58778,0.04911,0.904376849,0.093044906,0.534125502,0.277206441,10.3,59.1,30.7,203.6755448,679227.7919,0,1.690777646
ppm83,Passifloraceae,Passiflora mediterranea Vell.,Zoochory,Climber,-1.44789,0.92618,1.080345281,0.713685529,0.199971958,0.166687793,66.1,18.5,15.4,61.34710744,188801.4703,0,1.6551082
ppo84,Passifloraceae,Passiflora ovalis Vell. ex M.Roem.,Zoochory,Climber,-0.30478,1.70806,0.749362908,0.54047988,0.164566122,0.044316905,72.1,22,5.9,5.285714286,875.3317694,0,2.618021696
ppp208,Piperaceae,Peperomia pereskiaefolia (Jacq.) Kunth,Zoochory,Epiphyte,-0.85006,0.20856,1.666219952,0.201419205,1.155144486,0.309656261,12.1,69.3,18.6,112.2863436,673224.1374,0,1.374342459
ppp87,Piperaceae,Peperomia pseudoestrellensis C.DC.,Zoochory,Epiphyte,-1.3393,0.59691,1.137779192,0.543903269,0.437568572,0.156307352,47.8,38.5,13.7,47.54166667,141591.9023,0,1.269522145
ppr205,Passifloraceae,Passiflora racemosa Brot.,Zoochory,Climber,-0.7108,-0.99017,0.63739647,0.308761905,0.137897731,0.190736835,48.4,21.6,29.9,15.81818182,35118.00693,0,1.699662641
pps206,Passifloraceae,Passiflora suberosa L.,Zoochory,Climber,-0.54888,-0.4656,2.190982236,0.119092089,0.892823806,1.179066341,5.4,40.7,53.8,299.9131886,1268265.157,0,1.422164562
pps85,Passifloraceae,Passiflora setacea DC.,Zoochory,Climber,0.07135,-2.59872,1.733268574,1.195003745,0.398823351,0.139441478,68.9,23,8,75.86928105,272387.3693,0,1.58552487
pps86,Phyllanthaceae,Phyllanthus subemarginatus Mll.Arg.,Autochory,Herbaceous,-0.69431,-0.5608,1.190665413,0.184841645,0.207830195,0.797993573,15.5,17.5,67,37.53424658,183819.1645,0,1.438392602
ppt209,Piperaceae,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,Zoochory,Epiphyte,-1.47405,0.4973,1.477692969,0.626300169,0.535455504,0.315937296,42.4,36.2,21.4,281.4389381,645297.1225,0,1.498301581
prb88,Poaceae,Raddia brasiliensis Bertol.,Anemochory,Semi-woody,0.69772,-1.75543,1.290051511,0.675232177,0.215052309,0.399767025,52.3,16.7,31,33.13432836,132537.9026,0,1.780605029
prs89,Poaceae,Raddia soderstromii R.P.Oliveira et al.,Anemochory,Semi-woody,0.94904,-1.78346,1.20990289,0.803757994,0.11502648,0.291118416,66.4,9.5,24.1,23.74468085,102139.0357,0,1.731638258
rfc213,Rubiaceae,Faramea calyciflora A.Rich. ex DC.,Zoochory,Woody,-0.53914,-1.33212,0.457951985,0.391590496,0.050068043,0.016293445,85.5,10.9,3.6,5.111111111,9380.901457,0,1.601122039
rgj91,Rutaceae,Galipea jasminiflora (A.St.-Hil.) Engl.,Autochory,Woody,-0.67788,-0.07473,0.647975663,0.124185129,0.39219261,0.131597924,19.2,60.5,20.3,83.77245509,289779.1451,0,1.527323748
rra214,Rubiaceae,Randia armata (Sw.) DC.,Zoochory,Woody,0.63756,0.04209,2.233777986,0.109340258,1.151834339,0.97260339,4.9,51.6,43.5,761.1662338,2466446.289,0,1.228530616
rrr215,Rutaceae,Rauia resinosa Nees & Mart.,Autochory,Woody,1.42708,-0.89288,1.710678173,0.687101579,0.595121257,0.428455338,40.2,34.8,25,40.43902439,200974.587,0,1.774672503
saf218,Solanaceae,Aureliana fasciculata (Vell.) Sendtn.,Zoochory,Woody,-0.83772,0.56073,1.273948126,0.243710193,0.711849119,0.318388815,19.1,55.9,25,315.8613251,688138.6617,0,1.724995837
sap92,Sapindaceae,Allophylus puberulus (Cambess.) Radlk.,Zoochory,Woody,0.59035,-1.30432,1.644659568,0.394185217,0.574295555,0.676178795,24,34.9,41.1,70.3028169,158208.1567,0,1.829634369
scr93,Sapindaceae,Cupania racemosa (Camb.) Radlk,Zoochory,Woody,0.78301,-0.6502,0.821160347,0.239172238,0.226833213,0.355154897,29.1,27.6,43.3,96.7970297,179189.8506,0,1.324155136
sdv99,Solanaceae,Dyssochroma viridiflorum (Sims) Miers,Zoochory,Epiphyte,-0.69548,0.50395,0.634865542,0.17455162,0.302701748,0.157612175,27.5,47.7,24.8,23.65306122,157729.1442,0,1.569951412
smp100,Solanaceae,Metternichia princeps J.C.Mikan,Zoochory,Woody,0.20405,-3.19266,2.308489697,1.812757207,0.359366926,0.136365564,78.5,15.6,5.9,45.40217391,162544.0582,0,1.584328292
spp97,Sapotaceae,Pouteria psammophila (Mart.) Radlk.,Zoochory,Woody,-0.49612,-0.5838,0.904208203,0.12623396,0.261160034,0.516814209,14,28.9,57.2,32.21875,102403.3538,1,1.389046387
ssa101,Solanaceae,Solanum alternatopinnatum Steud.,Zoochory,Climber,-0.70614,0.0263,0.944536707,0.133807207,0.564610905,0.246118594,14.2,59.8,26.1,54.40952381,299567.1059,0,1.778566212
ssa102,Solanaceae,Solanum argenteum Dunal,Zoochory,Woody,-1.34148,0.50919,0.841185978,0.528326142,0.159198696,0.15366114,62.8,18.9,18.3,80.30952381,288288.033,0,1.501912667
ssc94,Sapindaceae,Serjania corrugata Radlk.,Anemochory,Climber,0.263,-0.7991,0.761214042,0.131436064,0.257231004,0.372546974,17.3,33.8,48.9,13.55172414,84680.99527,0,1.410568363
ssc95,Sapindaceae,Serjania cuspidata Cambess.,Anemochory,Climber,-0.48405,-0.09399,0.540180233,0.064375704,0.099959429,0.375845099,11.9,18.5,69.6,21.3902439,27650.04411,0,1.653964886
ssd96,Sapindaceae,Serjania dentata (Vell.) Radlk.,Anemochory,Climber,0.00191,-1.17923,0.780759928,0.245798012,0.407073089,0.127888828,31.5,52.1,16.4,24.58333333,61293.76984,0,1.565994284
ssr216,Smilacaceae,Smilax rufescens Griseb.,Zoochory,Climber,0.31956,-0.42315,1.149463146,0.059052509,0.525809093,0.564601544,5.1,45.7,49.1,77.40490798,111851.1291,0,1.927448511
sss217,Smilacaceae,Smilax spicata Vell.,Zoochory,Climber,-0.45193,0.12894,0.69539673,0.057684528,0.19309019,0.444622012,8.3,27.8,63.9,18.67741935,53160.56585,1,2.444447805
sss98,Smilacaceae,Smilax subsessiliflora Duhamel,Zoochory,Climber,-0.51764,0.05305,0.658859387,0.072327535,0.135356814,0.451175039,11,20.5,68.5,4.166666667,8397.00497,1,1.605808054
ttr219,Trigoniaceae,Trigonia rotundifolia Lleras,Anemochory,Climber,-0.12168,0.57209,0.338814831,0.061796323,0.226699836,0.050318672,18.2,66.9,14.9,2,12154.81965,0,1.842676043
tts103,Turneraceae,Turnera serrata Vell.,Zoochory,Woody,-1.32816,0.21943,0.99840546,0.481485373,0.228034863,0.288885225,48.2,22.8,28.9,25.2173913,78988.51545,0,1.693960882
ucm104,Urticaceae,Coussapoa microcarpa (Schott.) Rizzini,Zoochory,Epiphyte,-1.34079,0.75403,1.165001623,0.582487861,0.352512268,0.230001494,50,30.3,19.7,157.152381,201121.5029,0,1.308978495
vap221,Violaceae,Anchietea pyrifolia (Mart.) G. Don,Anemochory,Climber,-1.51688,0.46961,1.353878037,0.655914436,0.442478058,0.255485544,48.4,32.7,18.9,208.3875598,764763.446,0,1.592199694
vbp220,Velloziaceae,Barbacenia purpurea Hook.,Anemochory,Lithophyte,-0.7886,-0.77743,0.392298063,0.273575331,0.031022653,0.087700078,69.7,7.9,22.4,3.75,8292.321218,1,1.935508442
vvc105,Velloziaceae,Vellozia candida J.C.Mikan,Anemochory,Lithophyte,-0.06664,-1.01235,0.489872345,0.182341523,0.22592456,0.081606262,37.2,46.1,16.7,13.96774194,50626.94534,0,1.817548137
